,UserId,Avg_rate,RW_rate,QL_rate
99,206,3.4,3.6,3.1
100,208,3.6,3.5,3.9
101,211,4.4,4.2,4.4
102,213,4.5,4.0,4.1
103,215,3.4,3.6,3.4
104,220,3.6,3.2,3.5
105,225,3.3,4.2,3.6
106,229,3.3,3.2,3.6
107,230,4.2,4.2,4.4
108,232,4.4,4.3,4.8
109,235,3.3,3.2,4.4
110,237,4.4,4.5,4.5
111,238,3.8,3.9,3.8
112,239,4.3,4.6,4.0
113,241,4.1,4.2,3.7
114,242,3.5,3.6,3.6
115,245,4.0,4.2,4.4
116,247,3.4,3.6,3.6
117,248,3.3,2.7,3.8
118,249,4.2,4.4,4.2
119,251,3.8,4.2,4.0
120,252,4.1,4.2,4.8
121,253,4.8,5.0,4.7
122,254,3.5,3.0,4.0
123,256,4.2,4.2,4.0
124,258,3.2,3.6,4.6
125,260,3.6,3.2,4.0
126,262,4.3,4.4,4.2
127,264,3.4,3.1,3.9
128,266,3.1,4.2,2.5
129,267,4.0,4.0,4.2
130,269,3.4,4.2,3.8
131,270,4.3,3.8,4.6
132,271,3.6,3.7,3.8
133,272,3.6,3.6,3.6
134,278,3.1,3.3,4.0
135,279,3.8,3.6,3.9
136,283,3.6,3.8,4.4
137,284,3.2,3.2,2.9
138,285,4.6,3.9,3.9
139,286,4.3,4.4,4.6
140,290,3.4,3.7,3.9
141,292,3.4,3.6,4.0
142,294,3.2,3.7,2.5
143,295,3.3,3.8,3.4
144,298,2.8,3.4,3.4
145,304,3.6,3.5,4.0
146,306,3.6,3.9,3.9
147,309,3.9,4.1,3.8
148,310,3.9,4.0,4.0
149,311,3.0,2.8,3.4
150,312,2.7,2.3,2.5
151,314,3.4,3.9,3.8
152,317,3.3,2.9,3.4
153,318,3.3,3.6,4.6
154,320,4.0,3.9,3.7
155,330,3.2,3.4,3.6
156,331,3.6,3.8,4.4
157,332,3.7,3.8,4.8
158,333,4.6,4.2,4.4
159,334,3.1,4.0,3.4
160,335,3.9,4.2,4.0
161,337,4.3,3.6,4.6
162,338,4.0,3.6,3.6
163,339,4.1,4.2,4.4
164,340,3.5,3.3,3.9
165,342,3.7,4.3,4.0
166,343,3.4,2.6,4.8
167,344,3.6,3.2,4.2
168,346,3.5,3.6,4.0
169,347,2.8,2.5,4.0
170,348,3.9,4.0,4.2
171,349,3.7,3.6,4.4
172,354,4.0,4.0,4.2
173,357,4.1,3.8,4.4
174,358,2.9,2.8,3.0
175,359,3.5,3.2,3.7
176,360,4.3,4.2,4.2
177,361,4.0,4.2,4.1
178,367,3.5,3.8,4.0
179,369,3.0,3.4,4.3
180,372,3.6,4.0,4.0
181,374,3.5,4.4,4.0
182,375,4.1,4.2,3.8
183,376,4.4,4.3,4.4
184,377,3.6,3.2,4.6
185,378,3.5,4.4,4.4
186,380,3.5,3.4,3.8
187,381,3.9,4.0,4.2
188,382,4.5,4.3,4.6
189,384,3.8,3.6,3.7
190,386,3.6,3.8,3.9
191,387,3.9,3.7,4.3
192,388,2.5,2.1,2.5
193,389,3.2,3.8,3.8
194,390,3.9,3.6,4.4
195,395,4.2,3.9,4.0
196,399,3.6,3.2,3.6
197,400,3.8,3.9,3.9
198,401,4.2,4.4,4.6
199,402,3.5,3.6,4.0
200,407,4.0,3.3,3.4
201,411,3.6,3.6,3.6
202,412,3.0,3.4,2.6
203,413,3.7,4.1,4.0
204,414,4.1,4.6,4.4
205,415,3.6,4.0,3.8
206,416,3.3,3.2,3.2
207,417,2.6,3.0,3.4
208,418,3.6,3.2,3.2
209,419,4.3,4.6,4.5
210,421,3.6,3.3,3.6
211,422,2.5,3.0,3.7
212,423,4.1,4.2,4.2
213,424,2.9,3.0,3.9
214,425,4.0,4.3,4.9
215,427,3.0,2.6,3.7
216,429,4.1,4.5,4.5
217,430,3.6,3.5,3.4
218,431,3.9,3.6,3.8
219,435,3.3,3.6,3.6
220,436,4.3,4.5,4.8
221,440,3.3,4.3,4.4
222,441,2.8,2.9,2.5
223,442,3.8,3.8,3.6
224,445,3.4,4.0,4.2
225,447,4.1,4.0,4.2
226,448,4.1,4.2,3.8
227,449,3.6,3.9,3.9
228,451,3.3,3.6,3.7
229,453,4.2,4.4,4.4
230,455,3.4,3.4,3.8
231,457,3.2,4.0,3.2
232,459,3.2,3.8,3.3
233,461,3.5,2.8,4.4
234,462,4.0,4.1,4.5
235,463,4.1,4.6,4.4
236,465,4.4,4.4,4.6
237,466,3.7,3.7,3.7
238,469,3.6,3.2,4.3
239,471,3.3,1.8,3.7
240,472,4.1,4.0,4.4
241,473,3.8,4.2,4.2
242,474,4.1,4.0,4.4
243,475,3.8,3.8,4.6
244,478,4.2,5.0,4.8
245,479,3.0,2.8,3.2
246,482,3.8,3.4,4.5
247,484,4.1,4.0,4.6
248,486,3.8,4.1,4.2
249,488,3.4,3.6,3.8
250,489,3.3,3.6,3.4
251,492,3.4,3.4,3.8
252,494,4.5,4.0,4.4
253,496,3.8,3.8,4.2
254,500,4.2,4.1,4.2
255,503,3.4,3.6,3.3
256,504,4.3,4.1,4.9
257,505,4.2,4.0,4.5
258,508,4.2,4.0,4.8
259,509,4.1,4.4,4.4
260,512,3.3,3.9,3.7
261,514,3.2,3.4,2.8
262,516,3.4,3.4,3.2
263,521,3.8,4.2,4.2
264,534,4.3,4.1,4.5
265,536,3.0,3.6,4.0
266,540,3.3,3.7,4.0
267,543,4.1,4.8,4.4
268,544,2.9,3.4,3.2
269,545,3.2,3.2,3.2
270,546,3.9,4.3,4.3
271,548,3.2,4.3,3.6
272,549,3.6,3.0,4.2
273,551,3.2,3.4,4.0
274,552,3.3,4.0,4.0
275,553,4.2,3.4,4.8
276,554,3.4,3.4,4.2
277,555,4.6,4.6,4.6
278,557,3.7,4.3,4.2
279,560,3.5,4.2,4.2
280,561,4.3,4.5,4.4
281,563,4.2,4.6,4.4
282,565,3.6,3.4,3.6
283,570,3.8,3.4,4.1
284,571,3.8,3.8,3.7
285,573,4.6,4.5,4.5
286,575,4.5,4.5,4.5
287,576,3.2,3.4,3.4
288,577,4.3,4.6,4.8
289,578,3.5,3.6,3.9
290,579,3.5,4.2,4.6
291,584,3.6,3.0,4.0
292,585,3.6,4.4,4.2
293,587,3.5,3.5,4.2
294,588,4.4,4.9,4.8
295,593,4.6,4.6,4.6
296,594,3.4,3.2,4.2
297,598,3.6,4.1,3.6
298,600,3.7,4.0,4.8
299,601,3.9,3.8,4.2
300,603,3.6,3.6,3.6
301,604,3.7,3.6,3.5
302,605,4.6,4.6,4.5
303,609,3.4,3.7,3.9
304,610,3.1,3.2,3.0
305,611,3.8,4.2,4.4
306,612,3.6,4.3,4.4
307,614,3.6,3.6,3.7
308,617,4.6,4.7,4.5
309,619,3.8,2.9,4.0
310,620,4.1,4.0,4.2
311,626,3.6,3.6,3.9
312,628,4.0,4.2,4.8
313,630,4.0,4.2,4.3
314,632,3.1,2.8,3.4
315,633,3.8,3.6,4.2
316,634,4.1,4.2,4.0
317,635,4.2,4.2,4.8
318,636,3.9,3.4,4.0
319,637,3.1,3.5,3.8
320,642,4.0,4.0,4.0
321,643,3.3,3.2,4.2
322,645,3.2,2.9,3.4
323,646,2.8,2.6,2.6
324,648,3.0,3.3,4.4
325,649,3.8,4.3,3.3
326,650,3.5,3.7,4.2
327,652,4.5,4.2,4.4
328,654,3.8,4.2,3.2
329,658,4.4,4.6,4.2
330,659,3.8,3.8,3.4
331,661,2.8,3.0,2.9
332,662,2.7,3.1,4.3
333,663,3.6,3.5,3.4
334,664,4.2,4.3,4.6
335,665,3.6,3.6,3.0
336,666,3.4,4.0,4.2
337,670,3.8,4.2,4.4
338,671,3.9,3.6,4.2
339,675,4.1,4.0,3.8
340,678,3.6,3.8,4.4
341,680,4.1,4.3,4.2
342,682,4.0,3.7,3.7
343,685,3.8,3.8,3.2
344,688,4.0,4.2,3.8
345,689,3.7,3.9,3.3
346,690,4.2,4.4,4.8
347,696,3.3,3.2,3.2
348,699,3.4,4.2,4.2
349,700,3.6,3.1,3.4
350,702,2.6,2.7,4.1
351,705,4.0,3.8,4.2
352,706,4.1,4.4,4.4
353,709,3.2,3.6,4.0
354,711,3.8,3.6,3.8
355,717,3.2,3.9,4.1
356,721,3.8,4.2,4.4
357,724,3.9,3.7,4.3
358,725,4.6,4.6,4.8
359,727,4.0,4.0,4.6
360,729,3.3,4.1,4.2
361,731,3.8,3.8,4.2
362,732,3.6,3.5,3.2
363,733,3.4,4.0,4.6
364,735,3.8,3.6,4.5
365,736,3.7,4.0,4.0
366,737,4.0,4.4,4.5
367,738,3.7,3.7,4.1
368,739,3.3,3.6,4.1
369,740,3.2,3.4,3.8
370,742,4.3,4.4,4.8
371,744,3.7,3.8,3.9
372,745,3.2,3.2,4.0
373,748,2.9,2.1,3.6
374,756,4.2,4.2,3.6
375,760,3.2,3.2,4.2
376,761,2.6,3.0,3.4
377,763,3.2,3.6,3.8
378,766,3.8,3.4,4.0
379,768,3.1,3.2,3.2
380,769,2.6,2.2,3.0
381,770,3.2,2.9,3.0
382,774,3.4,3.3,3.9
383,775,3.4,3.8,4.5
384,776,3.9,3.7,3.7
385,777,3.7,4.1,4.2
386,778,3.5,3.2,3.8
387,779,3.4,3.1,4.1
388,783,4.2,4.7,4.4
389,784,3.9,3.8,4.0
390,785,3.8,4.0,4.0
391,786,2.8,3.9,3.2
392,787,3.2,3.2,2.8
393,789,4.7,4.8,4.7
394,790,3.6,4.6,4.2
395,791,3.9,4.0,4.4
396,792,3.6,3.7,4.4
397,793,4.2,4.2,4.2
398,795,4.9,5.0,4.8
399,796,3.6,4.0,4.0
400,797,4.4,4.2,4.6
401,798,3.8,4.0,4.2
402,799,3.5,3.2,3.4
403,802,3.9,3.8,4.6
404,804,4.0,3.6,4.0
405,807,3.5,3.2,3.8
406,808,3.8,3.6,3.8
407,809,2.2,0.5,2.8
408,810,3.9,4.2,4.0
409,811,4.1,4.2,4.2
410,812,2.8,2.4,3.0
411,816,4.0,4.4,4.8
412,821,3.6,3.8,4.2
413,822,4.2,4.1,4.2
414,824,3.4,3.0,4.2
415,827,4.0,3.7,4.1
416,828,3.7,3.3,4.0
417,829,4.1,4.0,4.2
418,839,4.3,4.4,4.4
419,840,3.2,3.6,3.8
420,841,4.0,4.3,4.2
421,844,3.7,3.8,3.9
422,846,3.4,3.1,3.1
423,847,3.8,3.5,4.4
424,852,3.6,3.8,3.6
425,853,4.1,4.6,4.0
426,856,2.7,3.0,4.3
427,860,3.2,4.0,4.2
428,863,3.9,3.8,3.8
429,865,3.5,3.8,4.1
430,868,4.0,4.0,4.8
431,869,3.5,3.5,3.8
432,870,3.3,2.8,3.6
433,872,3.7,4.0,3.7
434,873,3.9,3.1,4.4
435,878,3.5,3.7,3.8
436,885,4.3,4.6,4.4
437,887,3.5,3.3,3.4
438,889,4.2,4.5,4.7
439,891,3.8,3.8,3.7
440,892,3.6,3.4,4.8
441,893,3.6,3.4,4.7
442,897,4.5,4.6,5.0
443,900,4.0,3.7,4.6
444,901,4.4,4.3,4.4
445,902,3.4,4.2,2.1
446,903,2.1,2.0,3.6
447,905,3.5,3.7,3.9
448,907,2.0,2.0,2.9
449,908,3.9,4.0,4.2
450,909,3.7,3.8,4.0
451,912,3.6,4.0,4.1
452,913,3.7,3.3,3.2
453,915,3.3,3.6,3.8
454,916,3.2,3.2,3.5
455,918,3.6,3.8,3.6
456,919,4.0,3.8,3.8
457,920,2.8,3.4,3.2
458,924,4.2,4.4,4.2
459,926,4.0,3.9,4.4
460,929,3.2,3.0,3.8
461,930,3.0,2.6,3.8
462,932,3.7,3.0,3.7
463,933,4.1,4.2,4.0
464,936,3.2,3.0,3.8
465,941,3.7,3.6,3.8
466,943,3.3,3.6,3.6
467,945,3.6,3.2,3.6
468,947,4.3,4.0,4.8
469,948,4.2,4.4,4.8
470,949,4.3,4.0,4.7
471,951,3.4,4.2,4.2
472,952,4.4,4.2,4.2
473,955,2.6,3.0,3.4
474,960,3.7,4.2,3.4
475,964,4.4,4.7,4.8
476,965,3.9,4.0,4.1
477,968,3.1,2.9,3.6
478,970,3.4,3.6,4.0
479,971,3.4,4.1,4.0
480,973,4.9,4.8,4.8
481,978,2.4,2.2,3.8
482,979,3.3,3.3,3.1
483,980,3.2,3.2,3.2
484,982,3.2,3.3,3.9
485,984,3.8,3.5,3.6
486,986,3.8,4.4,4.8
487,987,3.5,3.8,4.0
488,988,3.9,3.8,4.0
489,993,4.1,4.4,4.2
490,995,3.6,3.7,3.8
491,998,4.1,4.0,4.4
492,1000,4.4,4.4,4.3
